Year,Country_Name,Nbr_Cars,Nbr_Commercial_Vehicle,Total,Percent_Change,Continent,Lower CI,Upper CI
2002-01-01,Taiwan,231506.0,102193.0,333699.0,22.8%,Asia,,
2002-01-01,Thailand,169321.0,415630.0,584951.0,27.3%,Asia,,
2002-01-01,Turkey,204198.0,142367.0,346565.0,28.0%,Asia,,
2002-01-01,Ukraine,50393.0,3380.0,53773.0,69.0%,Europe,,
2002-01-01,United kingdom,1629934.0,193084.0,1823018.0,8.2%,Europe,,
2002-01-01,Usa,5018777.0,7260805.0,12279582.0,7.5%,North America,,
2002-01-01,Uzbekistan,22705.0,6849.0,29554.0,-27.9%,Asia,,
2002-01-01,Others,119255.0,49106.0,168361.0,-3.3%,Other,,
2003-01-01,Argentina,109364.0,59812.0,169176.0,6.1%,South America,,
2003-01-01,Australia,365611.0,47650.0,413261.0,20.2%,Oceania,,
2003-01-01,Austria,118650.0,21006.0,139656.0,-8.5%,Europe,,
2003-01-01,Belgium,791703.0,112680.0,909383.0,-14.5%,Europe,,
2003-01-01,Brazil,1505139.0,322652.0,1827791.0,2.0%,South America,,
2003-01-01,Canada,1340175.0,1212687.0,2552862.0,-2.9%,North America,,
2003-01-01,China,2018875.0,2424811.0,4443686.0,35.2%,Asia,,
2003-01-01,Czechia,436279.0,5420.0,441699.0,-1.2%,Europe,,
2003-01-01,Egypt,32581.0,17431.0,50012.0,10.7%,Africa,,
2003-01-01,Finland,19226.0,432.0,19658.0,-52.6%,Europe,,
2003-01-01,France,3220329.0,399737.0,3620066.0,0.5%,Europe,,
2003-01-01,Germany,5145403.0,361226.0,5506629.0,0.7%,Europe,,
2003-01-01,Hungary,122338.0,3778.0,126116.0,-10.9%,Europe,,
2003-01-01,India,907968.0,253555.0,1161523.0,29.8%,Asia,,
2003-01-01,Indonesia,203196.0,118848.0,322044.0,7.6%,Asia,,
2003-01-01,Iran,516930.0,65169.0,582099.0,28.8%,Asia,,
2003-01-01,Italy,1026454.0,295177.0,1321631.0,-7.4%,Europe,,
2003-01-01,Japan,8478328.0,1807890.0,10286218.0,0.3%,Asia,,
2003-01-01,Malaysia,324911.0,19373.0,344284.0,-12.9%,Asia,,
2003-01-01,Mexico,774048.0,801399.0,1575447.0,-12.7%,North America,,
2003-01-01,Netherlands,163080.0,52201.0,215281.0,-6.9%,Europe,,
2003-01-01,Poland,306847.0,15214.0,322061.0,3.5%,Europe,,
2003-01-01,Portugal,165576.0,73785.0,239361.0,-4.6%,Europe,,
2003-01-01,Romania,75706.0,19541.0,95247.0,19.9%,Europe,,
2003-01-01,Russia,1010436.0,268356.0,1278792.0,4.8%,Europe,,
2003-01-01,Serbia,12996.0,907.0,13903.0,16.1%,Europe,,
2003-01-01,Slovakia,281160.0,187.0,281347.0,24.6%,Europe,,
2003-01-01,Slovenia,110597.0,7602.0,118199.0,-6.7%,Europe,,
2003-01-01,South africa,291249.0,130086.0,421335.0,4.2%,Africa,,
2003-01-01,South korea,2767716.0,410154.0,3177870.0,1.0%,Asia,,
2003-01-01,Spain,2399374.0,630452.0,3029826.0,6.1%,Europe,,
2003-01-01,Sweden,280394.0,42638.0,323032.0,17.0%,Europe,,
2003-01-01,Taiwan,264837.0,121849.0,386686.0,15.9%,Asia,,
2003-01-01,Thailand,251691.0,490371.0,742062.0,26.9%,Asia,,
2003-01-01,Turkey,294116.0,239238.0,533354.0,53.9%,Asia,,
2003-01-01,Ukraine,103000.0,4890.0,107890.0,100.6%,Europe,,
2003-01-01,United kingdom,1657558.0,188871.0,1846429.0,1.3%,Europe,,
2003-01-01,Usa,4510469.0,7604502.0,12114971.0,-1.3%,North America,,
2003-01-01,Uzbekistan,39196.0,7278.0,46474.0,57.3%,Asia,,
2003-01-01,Others,144607.0,66666.0,211753.0,25.5%,Other,,
2004-01-01,Argentina,171400.0,89002.0,260402.0,53.9%,South America,,
2004-01-01,Australia,337510.0,73896.0,411406.0,-0.4%,Oceania,,
2004-01-01,Austria,227244.0,21474.0,248718.0,78.1%,Europe,,
2004-01-01,Belgium,857119.0,43154.0,900273.0,-0.5%,Europe,,
2004-01-01,Brazil,1862780.0,454447.0,2317227.0,26.8%,South America,,
2004-01-01,Canada,1335516.0,1376020.0,2711536.0,6.2%,North America,,
2004-01-01,China,2480231.0,2754265.0,5234496.0,17.8%,Asia,,
2004-01-01,Czechia,443065.0,5295.0,448360.0,1.5%,Europe,,
2004-01-01,Egypt,34591.0,14744.0,49335.0,-1.4%,Africa,,
2004-01-01,Finland,10051.0,459.0,10510.0,-46.5%,Europe,,
2004-01-01,France,3227416.0,438574.0,3665990.0,1.3%,Europe,,
2004-01-01,Germany,5192101.0,377853.0,5569954.0,1.1%,Europe,,
2004-01-01,Hungary,118590.0,4076.0,122666.0,-2.7%,Europe,,
2004-01-01,India,1178354.0,332803.0,1511157.0,30.1%,Asia,,
2004-01-01,Indonesia,262752.0,145559.0,408311.0,26.8%,Asia,,
2004-01-01,Iran,707773.0,80885.0,788658.0,35.5%,Asia,,
2004-01-01,Italy,833578.0,308527.0,1142105.0,-13.6%,Europe,,
2004-01-01,Japan,8720385.0,1791133.0,10511518.0,2.2%,Asia,,
2004-01-01,Malaysia,364852.0,107123.0,471975.0,37.1%,Asia,,
2004-01-01,Mexico,903313.0,673846.0,1577159.0,0.1%,North America,,
2004-01-01,Netherlands,187600.0,59903.0,247503.0,15.0%,Europe,,
2004-01-01,Poland,523000.0,78000.0,601000.0,86.6%,Europe,,
2004-01-01,Portugal,150781.0,75947.0,226728.0,-5.3%,Europe,,
2004-01-01,Romania,98997.0,23188.0,122185.0,28.3%,Europe,,
2004-01-01,Russia,1110079.0,276048.0,1386127.0,8.4%,Europe,,
2004-01-01,Serbia,13266.0,1928.0,15194.0,9.3%,Europe,,
2004-01-01,Slovakia,223542.0,0.0,223542.0,-20.5%,Europe,,
2004-01-01,Slovenia,116609.0,15037.0,131646.0,11.4%,Europe,,
2004-01-01,South africa,300963.0,154739.0,455702.0,8.2%,Africa,,
2004-01-01,South korea,3122600.0,346864.0,3469464.0,9.2%,Asia,,
2004-01-01,Spain,2402501.0,609673.0,3012174.0,-0.6%,Europe,,
2004-01-01,Sweden,290383.0,49887.0,340270.0,5.3%,Europe,,
2004-01-01,Taiwan,299639.0,131175.0,430814.0,11.4%,Asia,,
2004-01-01,Thailand,299439.0,628542.0,927981.0,25.1%,Asia,,
2004-01-01,Turkey,447152.0,376256.0,823408.0,54.4%,Asia,,
2004-01-01,Ukraine,179098.0,7792.0,186890.0,73.2%,Europe,,
2004-01-01,United kingdom,1647246.0,209293.0,1856539.0,0.5%,Europe,,
2004-01-01,Usa,4229625.0,7759762.0,11989387.0,-1.0%,North America,,
2004-01-01,Uzbekistan,66896.0,13833.0,80729.0,73.7%,Asia,,
2004-01-01,Others,226533.0,84517.0,311050.0,47.2%,Other,,
2005-01-01,Argentina,182761.0,136994.0,319755.0,22.8%,South America,,
2005-01-01,Australia,316414.0,78299.0,394713.0,-4.1%,Oceania,,
2005-01-01,Austria,230505.0,22774.0,253279.0,1.8%,Europe,,
2005-01-01,Belgium,895109.0,31406.0,926515.0,2.9%,Europe,,
2005-01-01,Brazil,2011817.0,519023.0,2530840.0,9.2%,South America,,
2005-01-01,Canada,1356271.0,1331621.0,2687892.0,-0.9%,North America,,
2005-01-01,China,3941767.0,1775852.0,5717619.0,9.2%,Asia,,
2005-01-01,Czechia,596774.0,5463.0,602237.0,34.3%,Europe,,
2005-01-01,Egypt,43638.0,20911.0,64549.0,30.8%,Africa,,
2005-01-01,Finland,21233.0,411.0,21644.0,105.9%,Europe,,
2005-01-01,France,3112961.0,436047.0,3549008.0,-3.2%,Europe,,
2005-01-01,Germany,5350187.0,407523.0,5757710.0,3.4%,Europe,,
2005-01-01,Hungary,148533.0,3482.0,152015.0,23.9%,Europe,,
2005-01-01,India,1264111.0,374563.0,1638674.0,8.4%,Asia,,
2005-01-01,Indonesia,332590.0,168120.0,500710.0,22.6%,Asia,,
2005-01-01,Iran,923800.0,153390.0,1077190.0,36.6%,Asia,,
2005-01-01,Italy,725528.0,312824.0,1038352.0,-9.1%,Europe,,
2005-01-01,Japan,9016735.0,1782924.0,10799659.0,2.7%,Asia,,
2005-01-01,Malaysia,404571.0,158837.0,563408.0,19.4%,Asia,,
2005-01-01,Mexico,846048.0,838190.0,1684238.0,6.8%,North America,,
2005-01-01,Netherlands,115121.0,65627.0,180748.0,-27.0%,Europe,,
2005-01-01,Poland,540100.0,73100.0,613200.0,2.0%,Europe,,
2005-01-01,Portugal,137602.0,83458.0,221060.0,-2.5%,Europe,,
2005-01-01,Romania,174538.0,20644.0,194802.0,59.4%,Europe,,
2005-01-01,Russia,1068511.0,285993.0,1354504.0,-2.3%,Europe,,
2005-01-01,Serbia,12574.0,1605.0,14179.0,-6.7%,Europe,,
2005-01-01,Slovakia,218349.0,0.0,218349.0,-2.3%,Europe,,
2005-01-01,Slovenia,138393.0,39558.0,177951.0,35.2%,Europe,,
2005-01-01,South africa,324875.0,200352.0,525227.0,15.3%,Africa,,
2005-01-01,South korea,3357094.0,342256.0,3699350.0,6.6%,Asia,,
2005-01-01,Spain,2098168.0,654332.0,2752500.0,-8.6%,Europe,,
2005-01-01,Sweden,288659.0,50570.0,339229.0,-0.3%,Europe,,
2005-01-01,Taiwan,323819.0,122526.0,446345.0,3.6%,Asia,,
2005-01-01,Thailand,277562.0,845150.0,1122712.0,21.0%,Asia,,
2005-01-01,Turkey,453663.0,425789.0,879452.0,6.8%,Asia,,
2005-01-01,Ukraine,196722.0,19037.0,215759.0,15.4%,Europe,,
2005-01-01,United kingdom,1596356.0,206753.0,1803109.0,-2.9%,Europe,,
2005-01-01,Usa,4321272.0,7625381.0,11946653.0,-0.4%,North America,,
2005-01-01,Uzbekistan,87512.0,8302.0,95814.0,18.7%,Asia,,
2005-01-01,Others,372593.0,122898.0,495491.0,59.3%,Other,,
2006-01-01,Argentina,263120.0,168981.0,432101.0,35.1%,South America,,
2006-01-01,Australia,270000.0,60900.0,330900.0,-16.2%,Oceania,,
2006-01-01,Austria,248059.0,26873.0,274932.0,8.6%,Europe,,
2006-01-01,Belgium,881929.0,36127.0,918056.0,-1.2%,Europe,,
2006-01-01,Brazil,2092029.0,519005.0,2611034.0,3.3%,South America,,
2006-01-01,Canada,1389536.0,1182756.0,2572292.0,-4.3%,North America,,
2006-01-01,China,5233132.0,1955576.0,7188708.0,25.9%,Asia,,
2006-01-01,Czechia,848922.0,5985.0,854907.0,41.3%,Europe,,
2006-01-01,Egypt,59462.0,32056.0,91518.0,41.8%,Africa,,
2006-01-01,Finland,32417.0,353.0,32770.0,51.4%,Europe,,
2006-01-01,France,2723196.0,446023.0,3169219.0,-10.7%,Europe,,
2006-01-01,Germany,5398508.0,421106.0,5819614.0,1.1%,Europe,,
2006-01-01,Hungary,187633.0,3190.0,190823.0,25.5%,Europe,,
2006-01-01,India,1473000.0,546808.0,2019808.0,24.2%,Asia,,
2006-01-01,Indonesia,256285.0,40777.0,297062.0,-40.7%,Asia,,
2006-01-01,Iran,800000.0,104500.0,904500.0,10.7%,Asia,,
2006-01-01,Italy,892502.0,319092.0,1211594.0,16.7%,Europe,,
2006-01-01,Japan,9756515.0,1727718.0,11484233.0,6.3%,Asia,,
2006-01-01,Malaysia,377952.0,125021.0,502973.0,-10.8%,Asia,,
2006-01-01,Mexico,1097619.0,947899.0,2045518.0,22.4%,North America,,
